ID университета,Название университета,Экономика и управление,Социология и социальная работа,Юриспруденция,Политические науки и регионоведение
110170,"Автономная некоммерческая образовательная организация высшего образования ""Воронежский экономико-правовой институт""","98,7",N/A,N/A,N/A
1996,"Автономная некоммерческая образовательная организация высшего образования ""Международный институт компьютерных технологий""","2,0",N/A,N/A,N/A
2071,"Автономная некоммерческая образовательная организация высшего образования ""Региональный финансово-экономический институт""","46,4",N/A,N/A,N/A
1845,"Автономная некоммерческая образовательная организация высшего образования Центросоюза Российской Федерации ""Российский университет кооперации""","633,6",N/A,N/A,N/A
1847,"Автономная некоммерческая организация высшего образования ""Белгородский университет кооперации, экономики и права""","771,3",N/A,N/A,N/A
110232,"Автономная некоммерческая организация высшего образования ""Институт бизнеса и дизайна""","100,4",N/A,N/A,N/A
110216,"Автономная некоммерческая организация Высшего Образования ""Институт деловой карьеры""","255,9",N/A,N/A,N/A
110222,"Автономная некоммерческая организация высшего образования ""Институт информационных технологий экономики и менеджмента""","67,1",N/A,N/A,N/A
2053,"Автономная некоммерческая организация высшего образования ""Институт международных экономических связей""","402,2",N/A,N/A,N/A
110230,"Автономная некоммерческая организация высшего образования ""Институт менеджмента, экономики и инноваций""","63,8",N/A,N/A,N/A
1860,"Автономная некоммерческая организация высшего образования ""Институт непрерывного образования""","2,6",N/A,N/A,N/A
110243,"Автономная некоммерческая организация высшего образования ""Институт современного искусства""","44,5",N/A,N/A,N/A
110248,"Автономная некоммерческая организация высшего образования ""Институт социальных наук""","32,6",N/A,N/A,N/A
110271,"Автономная некоммерческая организация высшего образования ""Институт экономики и управления в промышленности""","5,6",N/A,N/A,N/A
1994,"Автономная некоммерческая организация высшего образования ""Институт экономики и управления""","21,6",N/A,N/A,N/A
1866,"Автономная некоммерческая организация высшего образования ""Московская международная высшая школа бизнеса ""МИРБИС"" (Институт)","60,7",N/A,N/A,N/A
110319,"Автономная некоммерческая организация высшего образования ""Московский гуманитарный университет""","293,6",N/A,N/A,N/A
110324,"Автономная некоммерческая организация высшего образования ""Московский институт современного академического образования""","35,1",N/A,N/A,N/A
2012,"Автономная некоммерческая организация высшего образования ""Московский информационно-технологический университет - Московский архитектурно-строительный институт"" ","71,5",N/A,N/A,N/A
